N,Rater,mae,r2,rho,rs
1,1,6.066936723234094,-11.4551025390625,0.32622827171036944,0.3250380312247625
1,2,5.0004480716601325,-7.373101043701172,0.2803931629308979,0.2870190731652782
1,3,6.948673853643086,-24.215226936340333,0.27098643986879106,0.26459239822440705
1,4,4.153464911553097,-4.0578173160552975,0.2951079497078076,0.2849017677813025
1,5,4.782279059207257,-9.743912172317504,0.43491689783359916,0.43042667615832525
2,1,5.916144385238235,-9.696821022033692,0.33342697026070656,0.33150869123297083
2,2,4.575883802954032,-6.170867824554444,0.23519690733993803,0.23918303332942892
2,3,6.665131801066503,-19.753731727600098,0.3173059703185106,0.3165235840642267
2,4,3.8992411417905615,-2.9672436714172363,0.2741492752313096,0.26463031171632284
2,5,4.457286144135406,-6.96053295135498,0.5046034238966925,0.4972016393154039
3,1,6.020199807478609,-10.140771770477295,0.37823603354758695,0.36305938870279747
3,2,4.571529791661899,-5.3140130043029785,0.30699786618116065,0.2885374065300014
3,3,6.772014313997055,-19.437732315063478,0.29629285299574154,0.27840109372567895
3,4,3.881167341263167,-3.419899249076843,0.2874129721792985,0.2877010287774211
3,5,4.318186545459439,-5.915424776077271,0.5634944874584967,0.5604896645606756
4,1,5.850422620530031,-9.157833671569824,0.40604257533747745,0.39184632283311893
4,2,4.488124133509642,-5.051808166503906,0.29523319209141563,0.28244812116624823
4,3,6.818180431079651,-19.816722869873047,0.37845665851856614,0.3774155952362748
4,4,3.9664031002969877,-3.160546588897705,0.3084472583336312,0.30348482928784687
4,5,4.362696585975283,-5.726079320907592,0.574766716140225,0.564879370249873
5,1,5.9203668923354815,-8.990910863876342,0.33490394977327476,0.310191834761745
5,2,4.555778605072778,-5.666434574127197,0.26992912927496915,0.2559400488323597
5,3,6.5441739515211355,-18.47184419631958,0.3324045179668345,0.3369744979189958
5,4,3.9364024053840923,-3.224410581588745,0.28657557760033525,0.2752701203456875
5,5,4.48297125962848,-6.560934209823609,0.5279358858610218,0.5110259199798015
6,1,5.781403127799228,-8.617676830291748,0.34446683632885905,0.33202839492952585
6,2,4.44594068418314,-4.776090669631958,0.29424841643685007,0.29620145207153364
6,3,6.732866931324634,-19.43090476989746,0.3247025358859648,0.31753702798845235
6,4,4.0303039790359225,-3.2154805183410646,0.35237021446999406,0.33186076274532933
6,5,4.40571793994049,-5.9831493377685545,0.563220299392876,0.5420983829050188
7,1,6.087664896360009,-10.096571063995361,0.3312211723229872,0.3098782757866386
7,2,4.525211484047906,-5.839934539794922,0.27881645188641596,0.2575330387332807
7,3,6.719405042505538,-17.922713661193846,0.3497931269829609,0.3456432370350906
7,4,3.9315633723436263,-3.1637680768966674,0.31369777243182617,0.3015509481259546
7,5,4.471691983229272,-6.390813112258911,0.5091610778673143,0.4967622349476378
8,1,5.911934229425554,-9.537182235717774,0.35059197675664155,0.3510222874350332
8,2,4.654059525328327,-5.530570030212402,0.3403716320713589,0.3164169376962501
8,3,6.6993729283158885,-19.15128650665283,0.39486942218784854,0.3918912813058529
8,4,3.9522973183162358,-3.1798213481903077,0.32516924593734514,0.3054624684613434
8,5,4.394188670836845,-5.868828248977661,0.5369898590842573,0.5351405829578343
9,1,5.998887818422625,-9.668037700653077,0.3646837678004042,0.3571977092337181
9,2,4.570499521467303,-5.380315780639648,0.32912901691679775,0.31408780217413523
9,3,6.752699964588547,-18.870293045043944,0.34490463039146624,0.3525658173812177
9,4,3.8851698114707767,-2.9897103548049926,0.34446121675642705,0.3302113675412235
9,5,4.487902230222006,-6.163475418090821,0.5335670549438023,0.5205467088325383
10,1,6.09605110430976,-10.022222518920898,0.3306221839772074,0.31491498647200244
10,2,4.518005001917482,-4.932176637649536,0.34755868053436556,0.3401654474091448
10,3,6.791330202389508,-19.49462127685547,0.335118056714957,0.3308561009239896
10,4,3.8762084214891095,-2.9540375471115112,0.33296833041981044,0.3099036011273342
10,5,4.418522009876918,-6.014469194412231,0.5530626548675975,0.5420959767934412
