Rater,mae,r2,rho,rs
1,1.9702080646643831,0.20138588547706604,0.5326012812823667,0.5277615610459006
2,1.2278033402501323,-0.2997691512107849,0.044198772132698454,0.015759415755497864
3,0.9717357187855,-0.26043612957000734,0.04253993227069223,0.04732639158086331
4,2.073341215994893,-0.23807930946350098,0.20718629011518944,0.18469193285052626
5,1.4688267318569883,0.004192662239074707,0.3142024604798198,0.30380810570945743
6,1.86036620273882,0.09565276503562928,0.49056912364094185,0.49100337602900435
7,2.4002469587082764,-0.5078850865364075,-0.06064408225852147,-0.07901114987031095
8,1.976325614507101,-0.21129514575004577,0.21979952769730957,0.19621866575599922
9,1.686378194756654,-0.02468951940536499,0.4076928697084116,0.45366919155602037
10,1.4192027507996074,0.08972326517105103,0.4223222159956269,0.40988910497348047
